year,make,model,condition,odometer,sellingprice
2012,Mercedes-Benz,E-Class,37.0,25081.0,31500.0
2012,Mercedes-Benz,E-Class,38.0,20521.0,32000.0
2012,Mercedes-Benz,GL-Class,27.0,55953.0,40750.0
2012,Mercedes-Benz,E-Class,41.0,23129.0,31750.0
2012,Mercedes-Benz,CLS-Class,43.0,61785.0,41500.0
2012,Mercedes-Benz,E-Class,43.0,13150.0,39000.0
2012,Mercedes-Benz,E-Class,38.0,36218.0,32750.0
2012,Mercedes-Benz,M-Class,36.0,12072.0,33750.0
2011,Audi,S5,42.0,36334.0,31500.0
2012,Porsche,Panamera,4.0,44160.0,50250.0
2011,BMW,5 Series,43.0,55493.0,33000.0
2011,BMW,M3,49.0,45684.0,36750.0
2011,BMW,M3,44.0,28846.0,41750.0
2011,BMW,M3,35.0,43674.0,36750.0
2011,BMW,M3,45.0,26350.0,40500.0
2011,GMC,Sierra 1500,42.0,44390.0,31750.0
2011,Land Rover,Range Rover Sport,39.0,28418.0,36500.0
2011,Land Rover,LR4,46.0,48098.0,31000.0
2011,Lexus,LS 460,36.0,62251.0,31250.0
2011,Mercedes-Benz,E-Class,45.0,18500.0,31500.0
2011,Mercedes-Benz,SLK-Class,43.0,8684.0,31500.0
2010,BMW,M3,37.0,47170.0,31000.0
2011,Mercedes-Benz,SLS AMG,41.0,22128.0,117800.0
2011,Mercedes-Benz,SL-Class,35.0,63586.0,39250.0
2010,Ferrari,California,48.0,7529.0,124000.0
2010,Lexus,LS 460,47.0,46754.0,34250.0
2014,Dodge,Challenger,44.0,6430.0,34000.0
2008,Ford,F-450 Super Duty,29.0,62397.0,33250.0
2007,Bentley,Continental GT,38.0,75333.0,52750.0
2007,Bentley,Continental GTC,37.0,38725.0,67000.0
2007,Bentley,Continental Flying Spur,35.0,96822.0,54000.0
2008,Porsche,911,45.0,35790.0,64500.0
2007,Mercedes-Benz,S-Class,41.0,76958.0,34250.0
2006,Bentley,Continental Flying Spur,41.0,41445.0,58500.0
2006,HUMMER,H2,5.0,47330.0,31000.0
2005,Bentley,Continental GT,42.0,66950.0,52500.0
2014,GMC,Sierra 1500,48.0,7092.0,31000.0
2014,Mercedes-Benz,GL-Class,49.0,6648.0,56500.0
2014,Lincoln,Navigator,41.0,10752.0,38000.0
2014,Lexus,LX 570,45.0,9869.0,79750.0
2014,Jaguar,F-TYPE,45.0,3897.0,62000.0
2014,Lexus,GX 460,48.0,8200.0,50500.0
2014,Mercedes-Benz,E-Class,49.0,14537.0,45000.0
2014,Mercedes-Benz,E-Class,41.0,21609.0,37000.0
2014,Infiniti,QX80,35.0,21766.0,47500.0
2014,Mercedes-Benz,E-Class,44.0,8102.0,42250.0
2014,Mercedes-Benz,CLA-Class,36.0,13099.0,44500.0
2013,Audi,RS 5,49.0,28238.0,57250.0
2013,Audi,Q7,37.0,16307.0,39750.0
2013,Audi,Q7,36.0,16930.0,52750.0
2013,Acura,MDX,45.0,26713.0,34500.0
2013,BMW,X3,41.0,33036.0,37000.0
2013,Audi,Q7,41.0,21555.0,48000.0
2014,Nissan,GT-R,36.0,5250.0,77000.0
2013,Audi,A7,24.0,21310.0,44500.0
2013,Mercedes-Benz,E-Class,36.0,19520.0,31750.0
